feature	Acidaminococcaceae	Eubacteriaceae	Bacteroidales_unclassified	Bacteroidaceae	Clostridia_unclassified	Ruminococcaceae	Odoribacteraceae	Prevotellaceae	Lachnospiraceae	Enterobacteriaceae	Rikenellaceae	Akkermansiaceae	Tannerellaceae	Clostridiaceae	Alphaproteobacteria_unclassified	Sutterellaceae	Veillonellaceae	Lactobacillaceae	FGB1798
SRR16554680	0.0196882157011924	0.00072469315473851	0.315199038175588	0.319471054039615	0.00563920460667592	0.0258788931220237	NA	8.27106602547776e-05	0.0905133746010955	NA	0.139905287058327	NA	0.0423910605169067	0.0176504138508955	NA	NA	0.000272042134411185	NA	NA
SRR16554681	0.005634661076348	0.0021007084943656	0.125800478411225	0.14958134520059	0.0588941299008286	0.191432009061515	0.00976665414707902	0.0224050879265563	0.136783532731314	NA	0.0782645671434587	0.0448485918321279	0.0182997637999351	0.0483983129564609	0.0129231141749354	0.0123242270530404	NA	NA	NA
SRR16554684	0.0035999506077536	0.0021148099870468	0.286487193179291	0.174218474008557	0.024377608630232	0.173374144630965	0.00412474322573892	1.26751625691819e-05	0.0673520317876722	NA	0.119042366935326	NA	0.0267575748407018	0.0276139660665454	0.00225352124193696	0.00834679898991221	NA	NA	NA
SRR16554686	0.0106612100451101	0.00019812099606035	0.351450449915411	0.169816336672361	0.0149600131266897	0.0607794840544288	0.0187506029897022	NA	0.0852944925414722	0.000987201242810191	0.125706246186934	0.0158267924844537	0.089285316065195	0.0101887947553335	NA	6.38494205312976e-05	NA	NA	NA
SRR16554687	0.00839540451326654	0.000281237497012289	0.110054105452156	0.203419651867798	0.00370120952133498	0.109502735887575	0.00301437372731528	0.227638392410049	0.0370499137028093	0.105189627208742	0.0632512235231805	0.0012044888746108	0.0213780517294905	0.0463067393648755	0.0122913092210782	0.00773728275754016	NA	NA	NA
SRR16554689	0.00538500384839749	0.000103117995995973	0.0620950315970903	0.164277978167358	0.0233354754491297	0.267979638959969	0.00427558549106505	8.30025758324872e-05	0.0714722052535125	0.000282780459245629	0.104369810353936	0.00424805912663081	0.0307468432024172	0.0304428886166837	0.189827737893958	0.0195737860079255	NA	NA	NA
SRR16554691	0.00377228878921085	0.000132539876377678	0.115563104160936	0.275987444735403	0.0304241321356864	0.240962253096335	NA	0.000119625734576776	0.159269544420796	NA	0.0806490421105242	0.0236224575566534	0.00931064311066785	0.0306612312478731	NA	0.00587015714018369	NA	NA	NA
SRR16554692	NA	0.0119572209934926	0.098830326198117	0.0847272899927775	0.0750949214072156	0.0904611445631474	0.00335566175532277	NA	0.162005221380031	0.0141757513791665	0.0308467813549205	0.305347160538241	0.0150431907800987	0.0279780003111922	NA	NA	0.00115578855240713	3.36068484298844e-05	NA
SRR16554693	0.0075922129004239	0.00188559051047799	0.190892778921017	0.318347478384345	0.0363506424048054	0.13337758507663	0.00819916531554188	NA	0.0491508650372825	NA	0.0306880427980548	NA	0.0595185947344796	0.0159179307085555	NA	0.0150009455011473	0.0041134763730347	NA	0.00739926197833392
SRR16554694	0.0286834221239025	0.00729750113017788	0.204928560717096	0.328167207218252	0.0615573139749095	0.107607930619666	NA	NA	0.0346758277663635	0.025732918989506	0.112801713710891	NA	NA	0.0039090472244692	0.0150366746828113	0.00297907227993822	NA	NA	NA
SRR16554695	NA	0.000242324942042109	NA	0.438037058614948	0.0321403376681151	0.134015814058244	NA	NA	0.117485251101223	1.53561653142383e-05	0.133556176110088	0.0419308237326278	0.00963262003169885	0.0287316179721113	NA	0.00647308901829431	0.0075038134477197	NA	NA
SRR16554696	NA	NA	0.174890989236085	0.388712256416644	0.0597360414113737	0.0255002559288003	0.0123659686026761	0.0591502501383151	0.0585801919507405	0.000140296536722027	0.0496814168483365	0.00838644432622943	0.0837703996310177	0.00562936896250238	NA	0.0202746239644702	0.0161667508327593	NA	NA
SRR16554697	0.0153444015344402	0.000290000029000003	0.097434709743471	0.135481313548131	0.0381581038158104	0.190516619051662	0.00428910042891004	NA	0.0900377090037709	4.26000042600004e-05	0.186325918632592	0.00786970078697008	0.0421265042126504	0.0759897075989708	0.0207833020783302	0.0263591026359103	6.86000068600007e-05	NA	NA
SRR16554698	NA	0.000218114381933088	0.00669206632542433	0.0160551303626877	0.284104182899926	0.435642268165745	0.000707735121708058	0.00247328419406328	0.0102341226485964	0.000562014663441698	0.12171377051336	0.0726231128034891	0.00484479722007333	0.00197783463595765	NA	NA	0.000493351183506589	NA	NA
SRR16554699	0.0351065155511881	0.00162398816402379	0.146218553825968	0.362099293739175	0.000918660602284299	0.0565798091201796	0.0073238122164183	NA	0.111710205235608	0.0499277269820182	0.116431749621891	0.0387904905946261	0.0167935813435151	0.00244284447713916	NA	0.0231015637652239	0.00440445441145389	0.00411953457603764	NA
SRR16554700	0.00257806044896004	0.000439600030916034	0.149849750916983	0.0517919634947371	0.0247674146629229	0.0432491777531955	0.010214259878474	0.534516006857517	0.0349044858880681	0.0045672150881604	0.0514668785618608	NA	0.0201599316439195	0.030132076784554	NA	0.00944227191462955	0.000229233057192025	NA	NA
SRR16554701	0.020239669249907	0.000156875144815299	0.370263533589877	0.0836186710510291	0.012682239679686	0.0681208944481187	0.0106406423421004	0.247475037367482	0.0418585741148461	NA	0.0624355304772435	NA	0.0290896256679267	0.0101556949729898	NA	0.0110718547005311	0.000379697802737666	NA	NA
SRR16554702	NA	0.000645144232040401	0.147106868905869	0.138318218273799	0.124854798480562	0.197006248733067	0.00988704100308765	NA	0.0901849354708877	NA	0.162999156847019	0.00512754524969961	0.00539899938012098	0.0344282570823381	NA	0.012042927356642	0.0101503867633795	NA	NA
SRR16554703	0.00289114891404496	0.00101745029687015	0.0234931761081599	0.0264279788101099	0.169215007343104	0.197245494758375	0.00374776304821475	0.0222981841487487	0.292065789916512	4.21905324445194e-05	0.0508461762452182	NA	0.0516616972885389	0.0230176180834963	0.00824642002357792	0.00339841080701953	0.00377044350785256	NA	0.00609299573753684
SRR16554704	NA	0.000194006534616227	0.0884500642529177	0.19572920405008	0.0433465730437213	0.319385606991419	0.00256343402843292	NA	0.0372166765845285	0.0485398502265376	0.0332693014313359	0.108382721640197	0.0144482659856738	0.00799133590623449	NA	0.00950621577933041	0.00425175031379878	NA	NA
