feature	Acidaminococcaceae	Eubacteriaceae	Bacteroidales_unclassified	Bacteroidaceae	Clostridia_unclassified	Ruminococcaceae	Odoribacteraceae	Prevotellaceae	Lachnospiraceae	Enterobacteriaceae	Rikenellaceae	Akkermansiaceae	Tannerellaceae	Clostridiaceae	Alphaproteobacteria_unclassified	Sutterellaceae	Veillonellaceae	Lactobacillaceae	FGB1798
SRR16554672	-7.50129912398732	NA	-1.64510029297818	-2.03316217686195	-3.89046145729503	-2.75645486744579	-8.97011901919548	NA	-4.77671501217533	-13.4269483211901	-3.97034739766298	-6.59233109550088	-6.54161478012895	-6.59799403613553	NA	-6.33137702689176	-6.83660034303852	NA	NA
SRR16554673	NA	-10.2958886659493	NA	-1.25935509347312	-9.20204400833133	-2.6373105537384	NA	NA	-3.5729403753241	-4.37926765146174	NA	NA	-2.15943167170541	-6.3072786788576	NA	NA	-7.81352086385787	NA	NA
SRR16554674	-7.97337824136093	-17.063671961062	-1.2689257764189	-5.29952178460641	-7.64045529651598	-3.28895399446393	NA	NA	-3.35636601970804	-4.1431610515293	-2.25612612195063	-7.96665001720614	NA	-4.88276229304671	NA	NA	-7.22865985849954	NA	NA
SRR16554675	-8.7566986616204	-14.3125122394077	-4.65652310629132	-2.3118286792845	-6.81593535716818	-1.88605366289284	-7.23392411033768	NA	-2.60129355029523	-5.39856060276392	-3.49052560971973	-4.56025107565257	-6.07459934790358	-4.56324136615829	-4.55856517526784	-6.74115792578162	NA	NA	NA
SRR16554678	-8.61893463318271	-9.44116350889652	-4.5949564883511	-4.14814440522804	-4.8604910284502	-2.16730768176192	-9.0572187718093	-1.34173883574361	-3.98687395140725	NA	-4.80199003532724	NA	-6.57557764299764	-3.85636577328198	-6.58242836149324	-7.79336473668776	NA	NA	NA
SRR16554679	-8.62450367940363	-14.6529772604009	-3.38631573928153	-1.30298556719008	-6.56232120490108	-3.0781280720595	-8.26791939833648	-5.0305791090344	-3.70950215001068	NA	-4.03774281391496	-9.86991709088032	-6.69352350938363	-2.78877542708819	NA	-7.24562910301915	NA	NA	NA
SRR16554680	-5.66652382082498	-10.4303421124814	-1.66566496244532	-1.64624287446722	-7.47029259560661	-5.27208027729428	NA	-13.5615671897131	-3.46572520371128	NA	-2.83747761152192	NA	-4.56009613035639	-5.82415417887686	NA	NA	-11.8438822633738	NA	NA
SRR16554681	-7.47145544945132	-8.89490830490288	-2.99079068618217	-2.74099783185931	-4.085732344938	-2.38509601400121	-6.67791987519565	-5.4800298015589	-2.87003353920209	NA	-3.67549688834046	-4.47879350203708	-5.77203116240538	-4.36889943012127	-6.27390242134036	-6.34235902282378	NA	NA	NA
SRR16554684	-8.11780717211763	-8.88525623978498	-1.80345744717811	-2.52103048043749	-5.35829958090101	-2.52803933008735	-7.92147997342082	-16.2676362233622	-3.89213472210073	NA	-3.07045297774488	NA	-5.2239088258074	-5.17845807933452	-8.79360323554395	-6.90456125675048	NA	NA	NA
SRR16554686	-6.55148499679902	-12.3013306002457	-1.50860679307281	-2.55795283916203	-6.06274474865333	-4.04027176162851	-5.73691919863207	NA	-3.55140359992663	-9.98436816881924	-2.99187175762672	-5.98148728652011	-3.4854332617052	-6.61687278629276	NA	-13.9349669477025	NA	NA	NA
SRR16554687	-6.89618444488109	-11.7959234197507	-3.18371513043945	-2.2974690337712	-8.07778747735818	-3.19096117937937	-8.37392598878835	-2.1351841986289	-4.75438600758569	-3.24893564797886	-3.98276280239857	-9.69736321662988	-5.54772580950755	-4.43263401484794	-6.34621759577617	-7.01395728683203	NA	NA	NA
SRR16554689	-7.53683690886902	-13.2434162479247	-4.00937835091018	-2.60578899815459	-5.42133132795311	-1.89980470572445	-7.86966229104518	-13.5564843658918	-3.80647388689075	-11.7880299493719	-3.26022363155485	-7.87898043822261	-5.02341789411979	-5.03775093227217	-2.39723727851242	-5.67493335733668	NA	NA	NA
SRR16554691	-8.05034415827418	-12.8812859006494	-3.1132472328656	-1.85732545770267	-5.03864007988089	-2.05312092990884	NA	-13.0291845957617	-2.65045767431258	NA	-3.63219879155318	-5.40369712680247	-6.74690346268604	-5.02744055802478	NA	-7.41238516082773	NA	NA	NA
SRR16554692	NA	-6.38597406150723	-3.33890238741463	-3.56102946465646	-3.73514084672723	-3.46655793993484	-8.21918698262439	NA	-2.62588778339669	-6.14043098319502	-5.01873622764625	-1.71147766544697	-6.05474558323858	-5.15956333821639	NA	NA	-9.75690679884449	-14.8608852179486	NA
SRR16554693	-7.04126383575944	-9.05076788152606	-2.38916556528264	-1.65132575814106	-4.78187532945275	-2.90641186176761	-6.93030723547046	NA	-4.34663938207936	NA	-5.02617955229815	NA	-4.07051572572009	-5.97320338847489	NA	-6.05880275393175	-7.92542612767472	NA	-7.07840290490644
SRR16554694	-5.12363903230888	-7.0983817555016	-2.2868070293597	-1.60749701309637	-4.02192590806996	-3.21614368758726	NA	NA	-4.84992586742271	-5.28024107266305	-3.1481391092125	NA	NA	-7.99896727100035	-6.05537063532872	-8.39092115716615	NA	NA	NA
SRR16554695	NA	-12.0107694732805	NA	-1.19087516565826	-4.95947110365045	-2.89952484407552	NA	NA	-3.08944844021351	-15.9908224779627	-2.90448140204896	-4.57584501751306	-6.69785602629917	-5.1212169517036	NA	-7.27132994062655	-7.05816032319941	NA	NA
